State,District,courtLink,courtID
Maharashtra,Maharashtra Family Courts,https://districts.ecourts.gov.in/maharashtra-family-courts,79
Maharashtra,Mumbai MotorAccident Claims Tribunal,https://districts.ecourts.gov.in/mumbai-motoraccident-claims-tribunal,80
Jharkhand,Bokaro,https://districts.ecourts.gov.in/bokaro,81
Jharkhand,Chatra,https://districts.ecourts.gov.in/chatra,82
Jharkhand,Deoghar,https://districts.ecourts.gov.in/deoghar,83
Jharkhand,Dhanbad,https://districts.ecourts.gov.in/dhanbad,84
Jharkhand,Dumka,https://districts.ecourts.gov.in/dumka,85
Jharkhand,East Singhbhum,https://districts.ecourts.gov.in/jamshedpur,86
Jharkhand,Garhwa,https://districts.ecourts.gov.in/garhwa,87
Jharkhand,Giridih,https://districts.ecourts.gov.in/giridih,88
Jharkhand,Godda,https://districts.ecourts.gov.in/godda,89
Jharkhand,Gumla,https://districts.ecourts.gov.in/gumla,90
Jharkhand,Hazaribag,https://districts.ecourts.gov.in/hazaribag,91
Jharkhand,Jamtara,https://districts.ecourts.gov.in/jamtara,92
Jharkhand,Khunti,https://districts.ecourts.gov.in/khunti,93
Jharkhand,Koderma,https://districts.ecourts.gov.in/koderma,94
Jharkhand,Latehar,https://districts.ecourts.gov.in/latehar,95
Jharkhand,Lohardaga,https://districts.ecourts.gov.in/lohardaga,96
Jharkhand,Pakur,https://districts.ecourts.gov.in/pakur,97
Jharkhand,Palamu,https://districts.ecourts.gov.in/palamu,98
Jharkhand,Ramgarh,https://districts.ecourts.gov.in/ramgarh,99
Jharkhand,Ranchi,https://districts.ecourts.gov.in/ranchi,100
Jharkhand,Sahibganj,https://districts.ecourts.gov.in/sahibganj,101
Jharkhand,Seraikela-Kharsawan,https://districts.ecourts.gov.in/seraikela,102
Jharkhand,Simdega,https://districts.ecourts.gov.in/simdega,103
Jharkhand,West Singhbhum,https://districts.ecourts.gov.in/chaibasa,104
Haryana,Ambala,https://districts.ecourts.gov.in/ambala,105
Haryana,Bhiwani,https://districts.ecourts.gov.in/bhiwani,106
Haryana,Faridabad,https://districts.ecourts.gov.in/faridabad,107
Haryana,Fatehabad,https://districts.ecourts.gov.in/fatehabad,108
Haryana,Gurgaon,https://districts.ecourts.gov.in/gurgaon,109
